bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-NDARMB945WN7_ses-HBNsiteCUNY_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0348	0.0191	0.0193	0.0017				0.0	0.0	-1.0	-1.0	-1.0	0.7234	125	96.89922480620154	0.6407	242.4055	134.0857	71.973	4.35	6.2	6.2	2.86	1.58	105.78	676.02	614.94	746.81	67.6536	94.8865	504.4546	265.0	520374.0	180.0	1516.0	737.6482	6.6164	1353.6158	2791.0202	2413.0	258378.0	872.0	5910.0	1716.8553	10.5043	621.2103	1756.6532	1636.0	95089.0	790.0	3105.0	759.1418
sub-NDARML142BEK_ses-HBNsiteSI_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1341	0.0697	0.0679	0.0087	2.5379	1.0	0.8435	0.0	0.0	-0.6131	9.9619	5.0989	3.6049	128	99.2248062015504	0.734	40.0303	11.0806	10.5648	4.54	3.77	3.77	2.39	1.26	116.24	758.15	988.06	682.16	83.4452	11.8608	71.6499	36.0	472564.0	25.0	233.0	113.4818	5.0532	124.5386	329.6047	293.0	190988.0	147.0	644.0	162.3116	42.8179	65.2345	244.8885	233.0	54490.0	143.0	379.0	96.3591
sub-NDARMU053YEU_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.053	0.016	0.0149	0.0016	1.7243	0.6401	0.6092	0.0	0.0	174.6667	237.16	81.0	1.9385	128	99.2248062015504	0.567	42.2542	11.8256	1.6508	3.12	3.79	3.79	1.6	0.94	83.42	431.7	339.56	541.83	117.6434	5.9304	19.3066	7.0	547844.0	1.0	64.0	54.5988	7.2716	103.7822	236.7384	212.0	230908.0	80.0	471.0	130.0918	8.0253	93.4039	219.0256	195.0	164380.0	74.0	438.0	119.1137
sub-NDARMV822KWR_ses-HBNsiteCBIC_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2098	0.0748	0.0663	0.0014	3.6971	2.151	1.585	0.0	0.0	0.0	0.0338	0.1681	3.574	128	99.2248062015504	0.5465	147.5189	65.0755	43.2498	4.23	6.18	6.18	2.46	1.38	64.46	403.75	172.89	426.44	221.5844	31.1346	175.1456	141.0	556784.0	104.0	368.0	146.6318	4.992	587.1105	1425.6781	1268.0	221968.0	468.0	2857.0	759.0766	3.4941	683.4796	1532.1204	1355.0	122874.0	533.0	3026.0	805.1505
sub-NDARMW551YA0_ses-HBNsiteCBIC_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1305	0.0292	0.0135	0.0015	4.6302	2.5113	1.8488	0.0	0.0	-0.0055	0.0323	0.0897	2.6772	127	98.44961240310077	0.8196	146.7776	65.8245	43.58	3.9	5.59	5.59	2.49	1.52	112.53	508.31	696.72	761.15	81.5169	42.9955	240.9052	149.0	518043.0	106.0	644.0	329.5798	4.8677	600.4539	1373.6187	1193.0	260709.0	498.0	2883.0	779.6159	3.8733	278.7292	898.3348	843.0	79670.0	456.0	1530.0	338.2633
sub-NDARMZ687XRR_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.054	0.0213	0.0168	0.0008	2.0457	0.7161	0.6085	0.0	0.0	130.25	268.96	104.04	2.6447	128	99.2248062015504	0.6747	40.0303	12.0844	1.6508	4.25	5.35	5.35	2.34	1.32	95.79	588.02	375.8	627.84	127.5214	5.9304	20.1957	6.0	514404.0	1.0	86.0	48.3566	11.7128	106.7474	265.5603	225.0	264348.0	97.0	561.0	165.9621	23.3315	62.2693	190.6054	178.0	110042.0	90.0	328.0	84.7881
sub-NDARNE511XHU_ses-HBNsiteSI_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.088	0.0319	0.027	0.0066	2.3338	1.1651	0.8467	0.0	0.0	0.4567	9.3789	6.7275	2.5357	128	99.2248062015504	0.5017	31.1346	11.4424	10.5648	7.47	10.44	10.44	4.26	2.31	59.3	481.13	360.01	258.23	85.429	10.3782	50.6574	35.0	485958.0	25.0	133.0	49.7474	2.873	139.3646	368.8326	338.0	177594.0	152.0	684.0	170.6905	7.0311	87.4735	297.5308	283.0	56246.0	159.0	500.0	116.0745
sub-NDARNP423EJQ_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1108	0.0398	0.0392	0.0015	2.8231	0.5825	0.5536	0.0	0.0	20.52	441.0	138.0625	2.2952	128	99.2248062015504	0.4498	29.652	10.8281	1.6508	4.59	5.43	5.43	2.29	1.15	42.87	113.88	163.57	227.2	441.7711	4.4478	9.3391	5.0	563500.0	1.0	27.0	26.802	3.693	91.9213	257.6017	243.0	215252.0	123.0	442.0	105.6122	2.8773	91.9213	255.6457	242.0	196046.0	123.0	435.0	102.3995
sub-NDARNV694EMG_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0776	0.033	0.0327	0.003	2.0976	0.6541	0.6206	0.0	0.0	73.8163	231.04	84.64	2.2123	128	99.2248062015504	0.6611	38.5477	12.1133	1.6508	4.07	5.47	5.47	1.89	1.18	97.72	504.17	419.28	583.4	159.0624	7.413	21.727	7.0	525930.0	1.0	73.0	63.3368	15.2901	90.4387	247.8286	219.0	252822.0	101.0	489.0	136.8063	16.6228	80.0605	225.2879	201.0	134224.0	92.0	436.0	117.9641
sub-NDARPK237YHD_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1952	0.0538	0.044	0.0037	1.7787	0.6112	0.5934	0.0	0.0	298.92	361.0	100.0	4.4602	128	99.2248062015504	0.5613	31.1346	12.0617	1.3206	3.89	3.6	3.6	1.96	1.2	101.23	607.69	456.54	717.43	134.4228	4.4478	15.6228	5.0	527246.0	1.0	53.0	48.0921	6.2308	102.2996	244.4841	212.0	251506.0	94.0	506.0	138.3169	6.6974	97.8517	234.604	206.0	219361.0	92.0	462.0	125.5773
