------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-18 14:54:27 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:27 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.082992s.
2024-04-18 14:54:27 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:27 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:27 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.589028s.
2024-04-18 14:54:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/868e4142b1dbb9009b8c82a87fd20b68e8ab57bf/load_bmat".
2024-04-18 14:54:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/868e4142b1dbb9009b8c82a87fd20b68e8ab57bf/sanitize".
2024-04-18 14:54:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/868e4142b1dbb9009b8c82a87fd20b68e8ab57bf/provenance".
2024-04-18 14:54:28 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/868e4142b1dbb9009b8c82a87fd20b68e8ab57bf/metadata".
2024-04-18 14:54:28 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:28 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:29 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:29 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:29 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.065192s.
2024-04-18 14:54:29 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.479465s.
2024-04-18 14:54:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c32b3661d0869e05ea03afbb366efd7dca9a19bf/load_bmat".
2024-04-18 14:54:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c32b3661d0869e05ea03afbb366efd7dca9a19bf/sanitize".
2024-04-18 14:54:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c32b3661d0869e05ea03afbb366efd7dca9a19bf/provenance".
