------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-18 05:40:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/08351e498d7abdc2af5452c9f5169f75d5ad0560/metadata".
2024-04-18 05:40:39 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 13.957905s.
2024-04-18 05:40:41 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 12.346433s.
2024-04-18 05:40:42 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:42 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:42 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:42 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:42 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.051897s.
2024-04-18 05:40:42 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.202871s.
2024-04-18 05:40:43 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.744149s.
2024-04-18 05:40:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/2c2ae8c4b197c250103d27b3fdaef7b1e2db9f5a/load_bmat".
2024-04-18 05:40:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/2c2ae8c4b197c250103d27b3fdaef7b1e2db9f5a/sanitize".
2024-04-18 05:40:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/2c2ae8c4b197c250103d27b3fdaef7b1e2db9f5a/provenance".
2024-04-18 05:40:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/2c2ae8c4b197c250103d27b3fdaef7b1e2db9f5a/metadata".
2024-04-18 05:40:45 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:45 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:45 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:45 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:45 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.042761s.
2024-04-18 05:40:45 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.58087s.
2024-04-18 05:40:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/1f4aa87005b7edce50786e463d4d4c08f4b30d5a/load_bmat".
2024-04-18 05:40:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/1f4aa87005b7edce50786e463d4d4c08f4b30d5a/sanitize".
2024-04-18 05:40:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/1f4aa87005b7edce50786e463d4d4c08f4b30d5a/metadata".
2024-04-18 05:40:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/1f4aa87005b7edce50786e463d4d4c08f4b30d5a/provenance".
2024-04-18 05:40:47 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:47 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.055319s.
2024-04-18 05:40:47 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:47 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:47 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:48 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.524098s.
2024-04-18 05:40:48 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/b4054397b85cb2106fb0bf7e7529128be2cb96fc/load_bmat".
2024-04-18 05:40:49 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/b4054397b85cb2106fb0bf7e7529128be2cb96fc/sanitize".
2024-04-18 05:40:49 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/b4054397b85cb2106fb0bf7e7529128be2cb96fc/provenance".
2024-04-18 05:40:49 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/b4054397b85cb2106fb0bf7e7529128be2cb96fc/metadata".
2024-04-18 05:40:50 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:51 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:51 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:51 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:51 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.063369s.
2024-04-18 05:40:51 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.748832s.
2024-04-18 05:40:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/67fa0949bf69db952be26ff7324c81b028b4d405/load_bmat".
2024-04-18 05:40:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/67fa0949bf69db952be26ff7324c81b028b4d405/sanitize".
2024-04-18 05:40:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/67fa0949bf69db952be26ff7324c81b028b4d405/provenance".
2024-04-18 05:40:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/67fa0949bf69db952be26ff7324c81b028b4d405/metadata".
2024-04-18 05:40:53 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:53 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:53 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:53 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:53 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.050318s.
2024-04-18 05:40:53 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.15449s.
2024-04-18 05:40:54 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.469354s.
2024-04-18 05:40:54 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 25.198924s.
2024-04-18 05:40:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/8c77139b200af038dbc1f7c066b2ab02ac36875d/load_bmat".
2024-04-18 05:40:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/8c77139b200af038dbc1f7c066b2ab02ac36875d/sanitize".
2024-04-18 05:40:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/8c77139b200af038dbc1f7c066b2ab02ac36875d/metadata".
2024-04-18 05:40:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/8c77139b200af038dbc1f7c066b2ab02ac36875d/provenance".
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 30.114927s.
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 29.403476s.
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 24.465992s.
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:56 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.028575s.
2024-04-18 05:40:57 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.209252s.
2024-04-18 05:40:57 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.650113s.
2024-04-18 05:40:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/14f7fa7bf7e66b57ae39da61ce218663fb024215/load_bmat".
2024-04-18 05:40:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/14f7fa7bf7e66b57ae39da61ce218663fb024215/sanitize".
2024-04-18 05:40:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/14f7fa7bf7e66b57ae39da61ce218663fb024215/provenance".
2024-04-18 05:40:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/14f7fa7bf7e66b57ae39da61ce218663fb024215/metadata".
2024-04-18 05:40:58 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:58 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:58 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:59 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.043447s.
2024-04-18 05:40:59 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:59 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.229941s.
2024-04-18 05:40:59 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.436463s.
2024-04-18 05:40:59 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 24.494399s.
2024-04-18 05:41:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/33e09a1af3d9d0117cd34a1d18c58b1348f743fc/load_bmat".
2024-04-18 05:41:00 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 15.307243s.
2024-04-18 05:41:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/33e09a1af3d9d0117cd34a1d18c58b1348f743fc/sanitize".
2024-04-18 05:41:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/33e09a1af3d9d0117cd34a1d18c58b1348f743fc/provenance".
2024-04-18 05:41:00 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/33e09a1af3d9d0117cd34a1d18c58b1348f743fc/metadata".
2024-04-18 05:41:01 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:41:01 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:41:01 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
