------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/8ef86130757a278371112a1923e4994931f439c2/metadata".
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/8ef86130757a278371112a1923e4994931f439c2/provenance".
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 5.446918s.
2024-04-17 14:46:49 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:49 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:49 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.011556s.
2024-04-17 14:46:49 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:49 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:49 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.05082s.
2024-04-17 14:46:49 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 3.669831s.
2024-04-17 14:46:50 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.230668s.
2024-04-17 14:46:50 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/0c9323333be06ebf6f5ef383990acbb288fcab5b/load_bmat".
2024-04-17 14:46:50 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/0c9323333be06ebf6f5ef383990acbb288fcab5b/provenance".
2024-04-17 14:46:50 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/0c9323333be06ebf6f5ef383990acbb288fcab5b/sanitize".
2024-04-17 14:46:50 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/0c9323333be06ebf6f5ef383990acbb288fcab5b/metadata".
2024-04-17 14:46:50 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 5.553086s.
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.015823s.
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 3.753043s.
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.143672s.
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/bccdcab3462c97a8ddff47f0724adc4156c34ac8/load_bmat".
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/bccdcab3462c97a8ddff47f0724adc4156c34ac8/provenance".
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/bccdcab3462c97a8ddff47f0724adc4156c34ac8/metadata".
