rater_id	input_file	rating	time_sec	timestamp	artifacts	comments
oe	sub-NDARLJ280UCN_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1.95	32.849	2024-04-19 09:11:06	n/a	n/a
oe	sub-NDARLJ970DEY_ses-HBNsiteCBIC_acq-64dirVARIANTObliquity_dwi.nii.gz	2.15	34.569	2024-04-19 09:11:45	n/a	n/a
oe	sub-NDARLM713ZAM_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.25	31.835	2024-04-19 09:12:23	n/a	n/a
oe	sub-NDARMB945WN7_ses-HBNsiteCUNY_acq-64dir_dwi.nii.gz	2.9	36.902	2024-04-19 09:13:05	n/a	n/a
oe	sub-NDARML142BEK_ses-HBNsiteSI_acq-64dir_dwi.nii.gz	3.1	43.155	2024-04-19 09:13:54	n/a	n/a
oe	sub-NDARMZ687XRR_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	3.05	38.995	2024-04-19 09:14:39	n/a	n/a
oe	sub-NDARNE511XHU_ses-HBNsiteSI_acq-64dir_dwi.nii.gz	2.85	38.811	2024-04-19 09:15:25	n/a	n/a
oe	sub-NDARNP423EJQ_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.25	32.992	2024-04-19 09:16:03	wrap-around	n/a
oe	sub-NDARRE445RHR_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.55	30.173	2024-04-19 09:16:39	n/a	n/a
oe	sub-NDARRF059RMB_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.4	21.708	2024-04-19 09:17:07	n/a	n/a
oe	sub-NDARRU720LG4_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.65	84.045	2024-04-19 09:18:38	n/a	n/a
oe	sub-NDARTK657DV6_ses-HBNsiteSI_acq-64dir_dwi.nii.gz	2.9	27.279	2024-04-19 09:19:20	n/a	n/a
oe	sub-NDARUB231LHN_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.85	38.852	2024-04-19 09:20:04	wrap-around	n/a
oe	sub-NDARUC308ZLR_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1	26.624	2024-04-19 09:20:45	n/a	n/a
oe	sub-NDARWD585PRZ_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.9	42.061	2024-04-19 09:21:44	n/a	n/a
oe	sub-NDARXK303DDB_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1	21.695	2024-04-19 09:22:57	n/a	n/a
oe	sub-NDARXN764AC7_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.95	26.116	2024-04-19 09:23:30	n/a	n/a
oe	sub-NDARXV209WYA_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.9	23.66	2024-04-19 09:23:58	n/a	n/a
oe	sub-NDARYD546HCB_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1	29.393	2024-04-19 09:24:33	wrap-around, processing, uncategorized	n/a
oe	sub-NDARYE521RDA_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1	25.695	2024-04-19 09:25:21	n/a	n/a
oe	sub-NDARYW984FLT_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	3	22.019	2024-04-19 09:25:49	n/a	n/a
oe	sub-NDARYZ637LK4_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.55	25.088	2024-04-19 09:26:20	n/a	n/a
